,num_campo,Ba_ppm ,Co_ppm ,Cr_ppm ,Cu_ppm ,Fe_pct   ,Mg_pct   ,Mn_ppm ,V_ppm ,K-classes,Lat,Long
747,1015-FC-S-0167,100.0,50.0,70.0,15.0,10.0,0.15,1000.0,300.0,0,-14.918114887,-39.216637725
748,1015-FC-S-0168,700.0,15.0,50.0,50.0,2.0,0.2,1000.0,70.0,2,-14.810411166,-39.150133491
749,1015-FC-S-0169,700.0,15.0,50.0,100.0,3.0,0.2,2000.0,100.0,2,-14.82775732,-39.148702365
750,1015-FC-S-0170,200.0,7.0,30.0,10.0,3.0,0.15,700.0,100.0,0,-14.892058047,-39.103383166
751,1015-FC-S-0171,50.0,7.0,20.0,10.0,2.0,0.15,700.0,100.0,0,-14.893914288,-39.101621543
752,1015-FC-S-0172,300.0,10.0,50.0,30.0,3.0,0.15,3000.0,100.0,1,-14.864847296,-39.111545841
753,1015-FC-S-0173,150.0,10.0,50.0,50.0,3.0,0.1,500.0,150.0,0,-14.851726565,-39.079771499
754,1015-FC-S-0175,150.0,15.0,50.0,50.0,7.0,0.1,500.0,300.0,0,-14.855405228,-39.104270825
755,1015-FC-S-0176,150.0,7.0,20.0,70.0,2.0,0.05,3000.0,100.0,1,-14.850524143,-39.111538416
756,1015-FC-S-0177,50.0,10.0,50.0,50.0,3.0,0.07,5000.0,150.0,1,-14.847454862,-39.111394258
757,1015-FC-S-0179,100.0,10.0,30.0,30.0,5.0,0.15,1500.0,150.0,2,-14.845756657,-39.08778547
758,1015-FC-S-0181,70.0,10.0,50.0,20.0,5.0,0.1,3000.0,150.0,1,-14.86754827,-39.132927082
759,1015-FC-S-0183,300.0,10.0,20.0,15.0,3.0,0.1,1000.0,150.0,0,-14.861225129,-39.122698365
760,1015-FC-S-0185,300.0,10.0,70.0,20.0,3.0,0.2,700.0,150.0,0,-14.882292484,-39.067695889
761,1015-FC-S-0186,70.0,5.0,50.0,15.0,3.0,0.1,700.0,150.0,0,-14.87755424,-39.077909491
762,1015-FC-S-0187,150.0,5.0,20.0,100.0,1.5,0.15,1500.0,50.0,2,-14.8956024,-39.074374457
763,1015-FC-S-0189,100.0,7.0,30.0,50.0,2.0,0.1,1500.0,150.0,2,-14.910973285,-39.071590495
764,1015-FC-S-0190,100.0,5.0,30.0,50.0,1.5,0.05,300.0,100.0,0,-14.919103761,-39.090188805
765,1015-FC-S-0191,30.0,5.0,50.0,5.0,2.0,0.05,1000.0,100.0,0,-14.92633812,-39.086472573
766,1015-FC-S-0191R,30.0,5.0,30.0,50.0,1.0,0.05,500.0,100.0,0,-14.92633812,-39.086472573
767,1015-FC-S-0193,30.0,5.0,30.0,100.0,1.0,0.05,700.0,100.0,0,-14.921044501,-39.092049135
768,1015-RH-S-0002,100.0,20.0,200.0,5.0,3.0,0.1,500.0,100.0,0,-14.592636437,-39.20981714
769,1015-RH-S-0003,150.0,15.0,200.0,10.0,2.0,0.05,700.0,100.0,0,-14.569119047,-39.220470238
770,1015-RH-S-0005,150.0,15.0,50.0,5.0,1.5,0.07,500.0,70.0,0,-14.593538476,-39.212138981
771,1015-RH-S-0006R,150.0,15.0,20.0,5.0,2.0,0.07,2000.0,50.0,2,-14.574561443,-39.200981032
772,1015-RH-S-0007,700.0,30.0,150.0,15.0,3.0,0.3,500.0,70.0,0,-14.606212136,-39.19404639
773,1015-RH-S-0011,100.0,20.0,150.0,15.0,3.0,0.07,300.0,70.0,0,-14.602322181,-39.255254388
